user_id,login_date
2001,2024-01-09
2001,2024-01-10
2001,2024-01-11
2001,2024-01-12
2001,2024-01-13
2001,2024-01-17
2001,2024-01-18
2001,2024-01-19
2001,2024-01-20
2001,2024-01-21
2001,2024-01-22
2001,2024-01-23
2001,2024-01-24
2001,2024-01-25
2001,2024-02-01
2001,2024-02-02
2001,2024-02-03
2001,2024-02-06
2001,2024-02-07
2001,2024-02-08
2001,2024-02-09
2001,2024-02-10
2002,2024-01-03
2002,2024-01-04
2002,2024-01-05
2002,2024-01-06
2002,2024-01-07
2002,2024-01-08
2002,2024-01-09
2002,2024-01-10
2002,2024-01-18
2002,2024-01-19
2002,2024-01-20
2002,2024-01-21
2002,2024-01-22
2002,2024-01-23
2003,2024-01-09
2003,2024-01-10
2003,2024-01-11
2003,2024-01-12
2003,2024-01-17
2003,2024-01-18
2003,2024-01-19
2003,2024-01-20
2003,2024-01-21
2003,2024-01-22
2003,2024-01-30
2003,2024-01-31
2003,2024-02-01
2003,2024-02-02
2003,2024-02-03
2003,2024-02-04
2003,2024-02-05
2004,2024-01-11
2004,2024-01-12
2004,2024-01-13
2004,2024-01-14
2004,2024-01-21
2004,2024-01-22
2004,2024-01-23
2004,2024-01-24
2004,2024-01-25
2004,2024-02-01
2004,2024-02-02
2004,2024-02-03
2004,2024-02-04
2004,2024-02-05
2005,2024-01-11
2005,2024-01-12
2005,2024-01-13
2005,2024-01-14
2005,2024-01-15
2005,2024-01-16
2005,2024-01-17
2005,2024-01-18
2005,2024-01-25
2005,2024-01-26
2005,2024-01-27
2005,2024-01-30
2005,2024-01-31
2005,2024-02-01
2005,2024-02-02
2005,2024-02-05
2005,2024-02-06
2005,2024-02-07
2005,2024-02-08
2005,2024-02-09
2005,2024-02-10
2005,2024-02-11
2006,2024-01-04
2006,2024-01-05
2006,2024-01-06
2006,2024-01-07
2006,2024-01-08
2006,2024-01-09
2006,2024-01-10
2006,2024-01-11
2006,2024-01-12
2006,2024-01-19
2006,2024-01-20
2006,2024-01-21
2006,2024-01-27
2006,2024-01-28
2006,2024-01-29
2006,2024-01-30
2006,2024-01-31
2006,2024-02-01
2006,2024-02-02
2006,2024-02-10
2006,2024-02-11
2006,2024-02-12
2006,2024-02-13
2006,2024-02-14
2006,2024-02-15
2006,2024-02-16
2007,2024-01-04
2007,2024-01-05
2007,2024-01-06
2007,2024-01-07
2007,2024-01-08
2007,2024-01-09
2007,2024-01-10
2007,2024-01-11
2007,2024-01-12
2007,2024-01-17
2007,2024-01-18
2007,2024-01-19
2007,2024-01-20
2007,2024-01-21
2007,2024-01-22
2007,2024-01-23
2007,2024-01-24
2007,2024-01-25
2007,2024-01-26
2007,2024-01-29
2007,2024-01-30
2007,2024-01-31
2007,2024-02-04
2007,2024-02-05
2007,2024-02-06
2007,2024-02-07
2007,2024-02-08
2007,2024-02-09
2007,2024-02-10
2007,2024-02-11
2007,2024-02-12
2007,2024-02-13
2008,2024-01-08
2008,2024-01-09
2008,2024-01-10
2008,2024-01-11
2008,2024-01-12
2008,2024-01-13
2008,2024-01-18
2008,2024-01-19
2008,2024-01-20
2008,2024-01-21
2008,2024-01-22
2008,2024-01-27
2008,2024-01-28
2008,2024-01-29
2008,2024-01-30
2008,2024-01-31
2008,2024-02-01
2008,2024-02-02
2008,2024-02-03
2009,2024-01-06
2009,2024-01-07
2009,2024-01-08
2009,2024-01-09
2009,2024-01-10
2009,2024-01-15
2009,2024-01-16
2009,2024-01-17
2009,2024-01-18
2009,2024-01-23
2009,2024-01-24
2009,2024-01-25
2009,2024-01-26
2009,2024-01-27
2009,2024-01-28
2010,2024-01-02
2010,2024-01-03
2010,2024-01-04
2010,2024-01-05
2010,2024-01-06
2010,2024-01-07
2010,2024-01-08
2010,2024-01-09
2010,2024-01-10
2010,2024-01-11
2010,2024-01-15
2010,2024-01-16
2010,2024-01-17
2010,2024-01-18
2010,2024-01-19
2010,2024-01-22
2010,2024-01-23
2010,2024-01-24
2011,2024-01-07
2011,2024-01-08
2011,2024-01-09
2011,2024-01-10
2011,2024-01-11
2011,2024-01-12
2011,2024-01-13
2011,2024-01-14
2011,2024-01-15
2011,2024-01-19
2011,2024-01-20
2011,2024-01-21
2011,2024-01-22
2011,2024-01-23
2011,2024-01-28
2011,2024-01-29
2011,2024-01-30
2011,2024-01-31
2011,2024-02-01
2011,2024-02-02
2011,2024-02-03
2011,2024-02-04
2011,2024-02-08
2011,2024-02-09
2011,2024-02-10
2011,2024-02-11
2011,2024-02-12
2012,2024-01-09
2012,2024-01-10
2012,2024-01-11
2012,2024-01-12
2012,2024-01-13
2012,2024-01-14
2012,2024-01-15
2012,2024-01-16
2012,2024-01-17
2012,2024-01-18
2012,2024-01-23
2012,2024-01-24
2012,2024-01-25
2012,2024-01-26
2012,2024-01-27
2012,2024-01-28
2012,2024-01-29
2012,2024-01-30
2012,2024-01-31
2012,2024-02-01
2012,2024-02-04
2012,2024-02-05
2012,2024-02-06
2012,2024-02-07
2013,2024-01-09
2013,2024-01-10
2013,2024-01-11
2013,2024-01-12
2013,2024-01-13
2013,2024-01-14
2013,2024-01-18
2013,2024-01-19
2013,2024-01-20
2013,2024-01-21
2013,2024-01-22
2013,2024-01-23
2013,2024-01-24
2013,2024-01-25
2013,2024-01-28
2013,2024-01-29
2013,2024-01-30
2014,2024-01-08
2014,2024-01-09
2014,2024-01-10
2014,2024-01-11
2014,2024-01-12
2014,2024-01-13
2014,2024-01-14
2014,2024-01-15
2014,2024-01-16
2014,2024-01-17
2014,2024-01-22
2014,2024-01-23
2014,2024-01-24
2014,2024-01-27
2014,2024-01-28
2014,2024-01-29
2014,2024-01-30
2014,2024-01-31
2014,2024-02-01
2014,2024-02-02
2014,2024-02-03
2014,2024-02-04
2014,2024-02-08
2014,2024-02-09
2014,2024-02-10
2014,2024-02-11
2014,2024-02-12
2014,2024-02-13
2014,2024-02-14
2015,2024-01-06
2015,2024-01-07
2015,2024-01-08
2015,2024-01-09
2015,2024-01-10
2015,2024-01-11
2015,2024-01-12
2015,2024-01-13
2015,2024-01-16
2015,2024-01-17
2015,2024-01-18
2015,2024-01-19
2015,2024-01-20
2015,2024-01-21
2015,2024-01-22
2015,2024-01-23
2015,2024-01-24
2015,2024-01-27
2015,2024-01-28
2015,2024-01-29
2015,2024-01-30
2015,2024-01-31
2015,2024-02-01
2016,2024-01-09
2016,2024-01-10
2016,2024-01-11
2016,2024-01-12
2016,2024-01-18
2016,2024-01-19
2016,2024-01-20
2016,2024-01-21
2016,2024-01-22
2016,2024-01-23
2016,2024-01-24
2016,2024-01-25
2016,2024-01-26
2016,2024-01-27
2016,2024-02-03
2016,2024-02-04
2016,2024-02-05
2016,2024-02-06
2016,2024-02-07
2016,2024-02-08
2016,2024-02-09
2017,2024-01-11
2017,2024-01-12
2017,2024-01-13
2017,2024-01-14
2017,2024-01-18
2017,2024-01-19
2017,2024-01-20
2017,2024-01-21
2017,2024-01-27
2017,2024-01-28
2017,2024-01-29
2017,2024-01-30
2017,2024-01-31
2017,2024-02-01
2017,2024-02-02
2017,2024-02-03
2017,2024-02-08
2017,2024-02-09
2017,2024-02-10
2017,2024-02-11
2017,2024-02-12
2017,2024-02-13
2017,2024-02-14
2017,2024-02-15
2018,2024-01-04
2018,2024-01-05
2018,2024-01-06
2018,2024-01-07
2018,2024-01-08
2018,2024-01-09
2018,2024-01-10
2018,2024-01-11
2018,2024-01-12
2018,2024-01-19
2018,2024-01-20
2018,2024-01-21
2018,2024-01-24
2018,2024-01-25
2018,2024-01-26
2018,2024-01-30
2018,2024-01-31
2018,2024-02-01
2018,2024-02-02
2018,2024-02-03
2018,2024-02-04
2018,2024-02-05
2018,2024-02-06
2019,2024-01-09
2019,2024-01-10
2019,2024-01-11
2019,2024-01-12
2019,2024-01-13
2019,2024-01-20
2019,2024-01-21
2019,2024-01-22
2019,2024-01-23
2019,2024-01-24
2019,2024-01-29
2019,2024-01-30
2019,2024-01-31
2019,2024-02-01
2019,2024-02-02
2019,2024-02-03
2019,2024-02-04
2019,2024-02-05
2020,2024-01-07
2020,2024-01-08
2020,2024-01-09
2020,2024-01-10
2020,2024-01-11
2020,2024-01-12
2020,2024-01-13
2020,2024-01-20
2020,2024-01-21
2020,2024-01-22
2020,2024-01-23
2020,2024-01-24
2020,2024-01-25
2020,2024-01-26
2020,2024-01-27
2020,2024-02-03
2020,2024-02-04
2020,2024-02-05
2020,2024-02-06
2020,2024-02-07
2020,2024-02-08
2020,2024-02-09
2020,2024-02-10
2020,2024-02-11
2020,2024-02-12
2020,2024-02-20
2020,2024-02-21
2020,2024-02-22
2020,2024-02-23
2020,2024-02-24
2020,2024-02-25
2020,2024-02-26
2021,2024-01-01
2021,2024-01-02
2021,2024-01-03
2021,2024-01-04
2021,2024-01-05
2021,2024-01-06
2021,2024-01-07
2021,2024-01-08
2021,2024-01-16
2021,2024-01-17
2021,2024-01-18
2021,2024-01-19
2021,2024-01-25
2021,2024-01-26
2021,2024-01-27
2021,2024-01-28
2021,2024-01-29
2021,2024-01-30
2021,2024-01-31
2022,2024-01-11
2022,2024-01-12
2022,2024-01-13
2022,2024-01-14
2022,2024-01-15
2022,2024-01-16
2022,2024-01-17
2022,2024-01-18
2022,2024-01-19
2022,2024-01-20
2022,2024-01-25
2022,2024-01-26
2022,2024-01-27
2022,2024-01-28
2022,2024-01-29
2022,2024-01-30
2023,2024-01-01
2023,2024-01-02
2023,2024-01-03
2023,2024-01-04
2023,2024-01-05
2023,2024-01-06
2023,2024-01-07
2023,2024-01-08
2023,2024-01-09
2023,2024-01-10
2023,2024-01-14
2023,2024-01-15
2023,2024-01-16
2023,2024-01-17
2023,2024-01-18
2023,2024-01-19
2023,2024-01-20
2023,2024-01-21
2023,2024-01-22
2023,2024-01-26
2023,2024-01-27
2023,2024-01-28
2023,2024-01-29
2023,2024-01-30
2023,2024-01-31
2023,2024-02-03
2023,2024-02-04
2023,2024-02-05
2023,2024-02-06
2024,2024-01-01
2024,2024-01-02
2024,2024-01-03
2024,2024-01-04
2024,2024-01-05
2024,2024-01-06
2024,2024-01-07
2024,2024-01-08
2024,2024-01-14
2024,2024-01-15
2024,2024-01-16
2024,2024-01-17
2024,2024-01-18
2024,2024-01-24
2024,2024-01-25
2024,2024-01-26
2024,2024-01-27
2024,2024-01-28
2024,2024-01-29
2025,2024-01-09
2025,2024-01-10
2025,2024-01-11
2025,2024-01-12
2025,2024-01-13
2025,2024-01-14
2025,2024-01-15
2025,2024-01-16
2025,2024-01-17
2025,2024-01-18
2025,2024-01-26
2025,2024-01-27
2025,2024-01-28
2025,2024-02-05
2025,2024-02-06
2025,2024-02-07
2025,2024-02-08
2025,2024-02-09
2025,2024-02-16
2025,2024-02-17
2025,2024-02-18
2025,2024-02-19
2025,2024-02-20
2025,2024-02-21
2026,2024-01-06
2026,2024-01-07
2026,2024-01-08
2026,2024-01-09
2026,2024-01-10
2026,2024-01-11
2026,2024-01-12
2026,2024-01-13
2026,2024-01-14
2026,2024-01-15
2026,2024-01-22
2026,2024-01-23
2026,2024-01-24
2026,2024-01-25
2026,2024-01-26
2026,2024-01-27
2026,2024-01-28
2026,2024-01-29
2026,2024-01-30
2026,2024-02-04
2026,2024-02-05
2026,2024-02-06
2026,2024-02-07
2026,2024-02-08
2026,2024-02-14
2026,2024-02-15
2026,2024-02-16
2026,2024-02-17
2026,2024-02-18
2026,2024-02-19
2026,2024-02-20
2026,2024-02-21
2027,2024-01-06
2027,2024-01-07
2027,2024-01-08
2027,2024-01-09
2027,2024-01-10
2027,2024-01-11
2027,2024-01-12
2027,2024-01-19
2027,2024-01-20
2027,2024-01-21
2027,2024-01-22
2027,2024-01-23
2027,2024-01-24
2027,2024-01-25
2027,2024-01-26
2027,2024-01-27
2027,2024-01-28
2027,2024-02-01
2027,2024-02-02
2027,2024-02-03
2027,2024-02-04
2027,2024-02-05
2027,2024-02-06
2027,2024-02-11
2027,2024-02-12
2027,2024-02-13
2027,2024-02-14
2027,2024-02-15
2027,2024-02-16
2027,2024-02-17
2028,2024-01-05
2028,2024-01-06
2028,2024-01-07
2028,2024-01-08
2028,2024-01-09
2028,2024-01-10
2028,2024-01-18
2028,2024-01-19
2028,2024-01-20
2028,2024-01-21
2028,2024-01-22
2028,2024-01-23
2028,2024-01-24
2028,2024-01-25
2028,2024-01-26
2028,2024-01-27
2028,2024-02-01
2028,2024-02-02
2028,2024-02-03
2028,2024-02-04
2028,2024-02-05
2028,2024-02-06
2028,2024-02-07
2028,2024-02-08
2028,2024-02-09
2028,2024-02-10
2029,2024-01-09
2029,2024-01-10
2029,2024-01-11
2029,2024-01-12
2029,2024-01-13
2029,2024-01-14
2029,2024-01-15
2029,2024-01-20
2029,2024-01-21
2029,2024-01-22
2029,2024-01-23
2029,2024-01-30
2029,2024-01-31
2029,2024-02-01
2029,2024-02-02
2029,2024-02-03
2029,2024-02-04
2029,2024-02-05
2029,2024-02-06
2029,2024-02-07
2029,2024-02-13
2029,2024-02-14
2029,2024-02-15
2029,2024-02-16
2029,2024-02-17
2029,2024-02-18
2029,2024-02-19
2029,2024-02-20
2030,2024-01-05
2030,2024-01-06
2030,2024-01-07
2030,2024-01-08
2030,2024-01-09
2030,2024-01-10
2030,2024-01-11
2030,2024-01-19
2030,2024-01-20
2030,2024-01-21
2030,2024-01-22
